Date,High,Low,Open,Close,Volume,Adj Close
2021-04-07,9658.400390625,9466.349609375,9519.5,9539.599609375,300003.0,9537.287109375
2021-04-08,9735.150390625,9575.0498046875,9590.0,9654.7998046875,353634.0,9652.458984375
2021-04-09,9715.0,9561.0,9611.0,9629.0498046875,328699.0,9626.7158203125
2021-04-12,9459.7998046875,9035.849609375,9419.9501953125,9163.150390625,566836.0,9160.9287109375
2021-04-13,9847.5,9190.0498046875,9200.0,9806.7001953125,830915.0,9804.3232421875
2021-04-15,9834.0,9597.0,9751.7001953125,9739.7001953125,587504.0,9737.3388671875
2021-04-16,9880.0,9765.0,9765.0,9824.75,400132.0,9822.3681640625
2021-04-19,9654.0,9392.599609375,9505.5,9469.900390625,697435.0,9467.6044921875
2021-04-20,9945.5,9600.0,9600.0,9819.400390625,798732.0,9817.0205078125
2021-04-22,9911.900390625,9610.0,9700.0,9853.849609375,582210.0,9851.4609375
2021-04-23,10142.400390625,9740.0,9740.0,9916.650390625,628025.0,9914.24609375
2021-04-26,10125.0,9902.2001953125,9992.0,10001.75,419596.0,9999.3251953125
2021-04-27,10133.0,9964.7001953125,10000.0,10091.349609375,342847.0,10088.9033203125
2021-04-28,10615.9501953125,10151.150390625,10200.0,10489.2998046875,1113881.0,10486.7568359375
2021-04-29,11300.0,10520.0,10540.0,11176.5498046875,1696498.0,11173.8408203125
2021-04-30,11225.0,10868.7001953125,11000.0,11041.650390625,835355.0,11038.9736328125
2021-05-03,11110.849609375,10814.150390625,10901.0,11041.7001953125,396931.0,11039.0234375
2021-05-04,11218.849609375,10872.0,11200.0,10986.4501953125,522101.0,10983.787109375
2021-05-05,11194.650390625,10915.2001953125,11111.0,11114.4501953125,307750.0,11111.755859375
2021-05-06,11194.099609375,10990.0,11100.0,11027.9501953125,228840.0,11025.27734375
2021-05-07,11392.900390625,11009.900390625,11050.0,11318.4501953125,343443.0,11315.7060546875
2021-05-10,11549.0,11280.0,11390.0,11332.0,432037.0,11329.2529296875
2021-05-11,11310.650390625,11139.150390625,11194.0,11193.0498046875,198664.0,11190.3369140625
2021-05-12,11325.0,11052.400390625,11190.0,11087.9501953125,226953.0,11085.2626953125
2021-05-14,11163.75,10868.0,11111.0,10971.5,313603.0,10968.8408203125
2021-05-17,11375.0,10942.650390625,10970.0,11249.349609375,318021.0,11246.623046875
2021-05-18,11589.0,11290.099609375,11345.650390625,11396.7998046875,403959.0,11394.037109375
2021-05-19,11434.0,11170.0498046875,11390.0,11215.150390625,227567.0,11212.431640625
2021-05-20,11299.9501953125,11130.7001953125,11260.0,11227.900390625,177897.0,11225.1787109375
2021-05-21,11415.0,11213.0,11296.7001953125,11265.150390625,277521.0,11262.419921875
2021-05-24,11365.0,11095.0,11265.4501953125,11166.7998046875,214229.0,11164.0927734375
2021-05-25,11405.0,11201.2998046875,11245.0,11375.849609375,394151.0,11373.091796875
2021-05-26,11980.0,11385.150390625,11400.0,11906.400390625,1015265.0,11903.513671875
2021-05-27,11968.150390625,11732.0498046875,11910.0,11888.7998046875,407973.0,11885.91796875
2021-05-28,12024.9501953125,11680.0,11925.0,11713.2001953125,263315.0,11710.3603515625
2021-05-31,11855.0498046875,11618.0,11713.2001953125,11806.2998046875,241152.0,11803.4375
2021-06-01,11947.599609375,11627.0498046875,11830.0,11829.900390625,302421.0,11827.0322265625
2021-06-02,11860.0,11701.5498046875,11709.0,11823.599609375,183421.0,11820.7333984375
2021-06-03,11923.900390625,11780.5498046875,11899.0,11819.849609375,183816.0,11816.984375
2021-06-04,12190.0,11785.0,11855.0,12155.650390625,410769.0,12152.7041015625
2021-06-07,12008.7998046875,11684.650390625,11880.0,11828.5498046875,514727.0,11825.6826171875
2021-06-08,11900.0,11670.0,11900.0,11733.099609375,289609.0,11730.2548828125
2021-06-09,11838.0,11430.5,11740.0,11558.849609375,308286.0,11556.0478515625
2021-06-10,12208.0,11500.349609375,11551.0,11993.099609375,629998.0,11990.1923828125
2021-06-11,12080.0,11852.900390625,12000.0,11907.5,352994.0,11904.61328125
2021-06-14,12015.0,11671.650390625,11851.0,11926.150390625,288785.0,11923.259765625
2021-06-15,12084.900390625,11765.0,11949.0,11798.7001953125,314841.0,11795.83984375
2021-06-16,11985.0,11775.0,11810.0,11856.150390625,247539.0,11853.2763671875
2021-06-17,11937.2001953125,11739.9501953125,11750.0,11818.5498046875,220170.0,11815.6845703125
2021-06-18,12100.0,11720.849609375,11860.0,11999.349609375,489567.0,11996.4404296875
2021-06-21,12199.75,11776.849609375,11800.0,12156.400390625,294853.0,12153.453125
2021-06-22,12266.0,12081.0,12199.0,12131.650390625,274923.0,12128.7099609375
2021-06-23,12400.0,12080.0,12225.0,12282.25,378555.0,12279.2724609375
2021-06-24,12396.0,12165.0,12282.25,12333.25,278573.0,12330.2607421875
2021-06-25,12520.0,12320.5,12355.0,12486.599609375,218717.0,12483.572265625
2021-06-28,12519.599609375,12320.0,12500.0,12377.900390625,165517.0,12374.8994140625
2021-06-29,12490.0,12271.0498046875,12389.0,12299.900390625,157178.0,12296.9189453125
2021-06-30,12369.5498046875,12065.0,12346.0,12109.0498046875,231546.0,12106.1142578125
2021-07-01,12198.0,11801.0,12198.0,11816.4501953125,321521.0,11813.5859375
2021-07-02,11969.0,11651.0,11969.0,11750.4501953125,355437.0,11747.6015625
2021-07-05,11942.0,11799.0,11799.0,11923.099609375,155869.0,11920.208984375
2021-07-06,12282.349609375,11871.2998046875,11890.0,12090.7998046875,320522.0,12087.869140625
2021-07-07,12399.0,12000.0,12000.0,12374.150390625,404800.0,12371.150390625
2021-07-08,12450.0,12240.0,12320.0,12333.900390625,206630.0,12333.900390625
2021-07-09,12912.0,12345.0,12351.0,12854.75,791922.0,12854.75
2021-07-12,12945.400390625,12738.9501953125,12888.9501953125,12908.900390625,409158.0,12908.900390625
2021-07-13,12998.7998046875,12805.0,12902.400390625,12909.400390625,274181.0,12909.400390625
2021-07-14,13033.0,12851.5,12862.5,12991.2001953125,240151.0,12991.2001953125
2021-07-15,13110.0,12922.0,12976.0,12958.9501953125,177991.0,12958.9501953125
2021-07-16,13025.0,12725.75,12958.9501953125,12745.7001953125,252782.0,12745.7001953125
2021-07-19,12820.0,12643.2001953125,12680.0,12721.099609375,188197.0,12721.099609375
2021-07-20,12771.0,12536.5498046875,12725.0,12597.150390625,145137.0,12597.150390625
2021-07-22,13100.0,12300.0498046875,12310.099609375,13064.599609375,524877.0,13064.599609375
2021-07-23,13243.9501953125,12945.0498046875,13044.0,13201.2001953125,289870.0,13201.2001953125
2021-07-26,13575.4501953125,13154.900390625,13199.0,13525.0498046875,421170.0,13525.0498046875
2021-07-27,13844.9501953125,13503.150390625,13531.150390625,13807.849609375,413415.0,13807.849609375
2021-07-28,14001.0,13755.0,13847.849609375,13970.5498046875,319493.0,13970.5498046875
2021-07-29,14925.0,13940.099609375,13960.0,14599.0498046875,710514.0,14599.0498046875
2021-07-30,14613.849609375,14161.0,14605.0,14222.2001953125,354543.0,14222.2001953125
2021-08-02,14399.9501953125,14082.5498046875,14375.0,14125.150390625,264709.0,14125.150390625
2021-08-03,14318.349609375,14160.0,14250.0,14295.0,202430.0,14295.0
2021-08-04,14485.0,14156.099609375,14289.9501953125,14187.2001953125,283194.0,14187.2001953125
2021-08-05,14248.900390625,13961.599609375,14207.7998046875,13994.900390625,291527.0,13994.900390625
2021-08-06,14108.7001953125,13975.0,14070.0,14005.650390625,137473.0,14005.650390625
2021-08-09,14460.0,14007.599609375,14007.599609375,14242.900390625,318865.0,14242.900390625
2021-08-10,14333.75,14004.0,14270.0,14036.5,206363.0,14036.5
2021-08-11,14233.4501953125,13852.75,14099.0,14206.2001953125,211850.0,14206.2001953125
2021-08-12,14380.0,14130.0,14210.0,14340.7001953125,160934.0,14340.7001953125
2021-08-13,14430.900390625,14265.0,14340.0,14317.5,153843.0,14317.5
2021-08-16,14607.0,14309.0,14316.400390625,14549.2998046875,243262.0,14549.2998046875
2021-08-17,14800.0,14360.0498046875,14525.0,14737.25,242069.0,14737.25
2021-08-18,15238.0,14736.7001953125,14737.25,15006.349609375,391734.0,15006.349609375
2021-08-20,15149.0,14800.0498046875,14856.349609375,14978.5498046875,275052.0,14978.5498046875
2021-08-23,15420.0,15065.0,15148.0,15271.900390625,326688.0,15271.900390625
2021-08-24,16584.80078125,15260.0,15367.5498046875,16461.69921875,1274393.0,16461.69921875
2021-08-25,16799.0,15850.0,16545.0,15904.400390625,974598.0,15904.400390625
2021-08-26,16124.2001953125,15678.2998046875,16000.5,15958.7998046875,606882.0,15958.7998046875
2021-08-27,16251.9501953125,15780.0498046875,16080.0,16195.599609375,441475.0,16195.599609375
2021-08-30,16595.0,16260.0,16475.0,16560.400390625,336038.0,16560.400390625
2021-08-31,17200.0,16428.25,16500.0,17148.75,652127.0,17148.75
2021-09-01,17263.5,16740.150390625,17166.44921875,16786.30078125,461843.0,16786.30078125
2021-09-02,16900.0,16610.0,16865.0,16703.25,276879.0,16703.25
2021-09-03,16859.849609375,16560.0,16776.80078125,16734.349609375,248555.0,16734.349609375
2021-09-06,16968.94921875,16675.0,16835.0,16747.0,176958.0,16747.0
2021-09-07,16944.69921875,16630.94921875,16749.0,16781.19921875,188193.0,16781.19921875
2021-09-08,16888.94921875,16529.0,16760.0,16560.75,190932.0,16560.75
2021-09-09,16826.94921875,16484.05078125,16594.0,16750.5,180816.0,16750.5
2021-09-13,16994.0,16580.0,16740.0,16938.19921875,216614.0,16938.19921875
2021-09-14,17040.0,16795.80078125,17000.0,16831.25,159227.0,16831.25
2021-09-15,16982.0,16802.0,16851.25,16828.900390625,123199.0,16828.900390625
2021-09-16,16950.400390625,16625.0,16890.0,16733.0,154209.0,16733.0
2021-09-17,17499.0,16750.05078125,16840.0,16840.19921875,654951.0,16840.19921875
2021-09-20,17334.0,16700.099609375,16775.05078125,17018.94921875,325204.0,17018.94921875
2021-09-21,17655.0,16814.05078125,17100.0,17587.25,384694.0,17587.25
2021-09-22,17780.0,17505.0,17589.05078125,17614.75,256982.0,17614.75
2021-09-23,18750.0,17682.05078125,17787.5,18503.849609375,712551.0,18503.849609375
2021-09-24,18813.0,18317.400390625,18599.94921875,18526.0,373175.0,18526.0
2021-09-27,18747.599609375,17930.05078125,18570.0,18031.099609375,407168.0,18031.099609375
2021-09-28,18186.0,17430.099609375,18185.0,17550.349609375,322058.0,17550.349609375
2021-09-29,17647.900390625,17307.80078125,17498.80078125,17433.75,309712.0,17433.75
2021-09-30,17859.94921875,17412.19921875,17500.0,17786.75,343000.0,17786.75
2021-10-01,17736.05078125,17050.0,17736.05078125,17177.80078125,432677.0,17177.80078125
2021-10-04,17936.0,17301.0,17359.94921875,17806.19921875,401325.0,17806.19921875
2021-10-05,17950.0,17525.0,17754.0,17847.5,268163.0,17847.5
2021-10-06,18145.55078125,17557.94921875,17974.0,17616.599609375,300421.0,17616.599609375
2021-10-07,17880.0,17425.0,17800.0,17470.25,224100.0,17470.25
2021-10-08,17740.5,17460.0,17620.0,17549.44921875,152238.0,17549.44921875
2021-10-11,18045.0,17607.0,17665.650390625,17713.94921875,234090.0,17713.94921875
2021-10-12,18475.0,17631.0,17713.94921875,18222.650390625,454592.0,18222.650390625
2021-10-13,18574.900390625,18148.599609375,18355.0,18188.25,318388.0,18188.25
2021-10-14,18540.0,18215.099609375,18350.0,18488.900390625,196805.0,18488.900390625
2021-10-18,19100.0,18552.80078125,18850.0,18677.94921875,293948.0,18677.94921875
2021-10-19,19325.0,18600.5,19000.0,19076.55078125,387846.0,19076.55078125
2021-10-20,19063.0,18404.25,19063.0,18603.19921875,224798.0,18603.19921875
2021-10-21,18789.30078125,18346.69921875,18788.0,18579.599609375,192533.0,18579.599609375
2021-10-22,19250.55078125,18550.0,18600.0,18658.150390625,505330.0,18658.150390625
2021-10-25,18947.0,18000.0,18700.0,18087.150390625,301804.0,18087.150390625
2021-10-26,18450.0,17975.05078125,18200.0,18353.349609375,296749.0,18353.349609375
2021-10-27,18599.0,17770.0,18599.0,18012.0,325301.0,18012.0
2021-10-28,18372.05078125,17802.0,18012.0,17987.69921875,342550.0,17987.69921875
2021-10-29,18174.0,17139.55078125,17987.69921875,17821.150390625,320536.0,17821.150390625
2021-11-01,17980.0,17171.0,17900.0,17565.69921875,384929.0,17565.69921875
2021-11-02,17894.900390625,17392.55078125,17650.0,17542.599609375,271929.0,17542.599609375
2021-11-03,17754.75,17449.099609375,17579.69921875,17509.44921875,183802.0,17509.44921875
2021-11-04,17750.0,17500.0,17650.0,17594.0,31506.0,17594.0
2021-11-08,18392.94921875,17515.0,17650.900390625,18319.75,316199.0,18319.75
2021-11-09,18475.0,18080.0,18320.0,18172.5,198087.0,18172.5
2021-11-10,18375.0,18002.5,18142.5,18326.150390625,178433.0,18326.150390625
2021-11-11,18350.0,17810.0,18250.0,17871.349609375,215558.0,17871.349609375
2021-11-12,18349.0,17925.05078125,18135.0,18273.80078125,207802.0,18273.80078125
2021-11-15,18345.0,18000.0,18275.0,18130.5,170461.0,18130.5
2021-11-16,18511.0,18118.75,18230.0,18209.75,218955.0,18209.75
2021-11-17,18420.0,18111.900390625,18185.0,18255.400390625,146100.0,18255.400390625
2021-11-18,18472.0,17811.19921875,18256.0,17921.25,274556.0,17921.25
2021-11-22,18140.0,16830.05078125,18140.0,17073.75,370700.0,17073.75
2021-11-23,17437.849609375,16757.25,16880.0,17368.099609375,251315.0,17368.099609375
2021-11-24,17647.0,17140.400390625,17432.0,17408.69921875,274024.0,17408.69921875
2021-11-25,17522.0,17225.25,17349.0,17368.849609375,161620.0,17368.849609375
2021-11-26,17237.19921875,16610.0,17200.0,16682.55078125,342486.0,16682.55078125
2021-11-29,17098.0,16273.650390625,16670.0,16890.400390625,304218.0,16890.400390625
2021-11-30,17500.0,16880.0,16880.0,17237.349609375,458642.0,17237.349609375
2021-12-01,17546.69921875,17201.0,17444.0,17382.94921875,238349.0,17382.94921875
2021-12-02,17890.0,17273.44921875,17400.0,17758.150390625,213881.0,17758.150390625
2021-12-03,17889.75,17450.0,17750.0,17488.69921875,203459.0,17488.69921875
2021-12-06,17598.94921875,16851.0,17487.0,16893.44921875,203690.0,16893.44921875
2021-12-07,17250.0,16931.69921875,17140.0,17109.0,230078.0,17109.0
2021-12-08,17674.25,17166.0,17166.0,17621.650390625,284299.0,17621.650390625
2021-12-09,17771.900390625,17487.0,17625.349609375,17596.599609375,210382.0,17596.599609375
2021-12-10,17763.55078125,17300.650390625,17580.0,17711.099609375,233314.0,17711.099609375
2021-12-13,17835.94921875,17250.0,17750.0,17324.0,219913.0,17324.0
2021-12-14,17260.0,16865.0,17200.0,17123.5,242026.0,17123.5
2021-12-15,17214.94921875,16620.0,17169.0,16660.69921875,253221.0,16660.69921875
2021-12-16,16950.0,16575.0,16870.0,16703.349609375,325350.0,16703.349609375
2021-12-17,16850.0,16133.0,16650.0,16204.2001953125,305435.0,16204.2001953125
2021-12-20,15940.0,15450.0,15940.0,15826.2001953125,337160.0,15826.2001953125
2021-12-21,16150.0,15677.0,16150.0,15831.9501953125,336805.0,15831.9501953125
2021-12-22,16184.9501953125,15830.0,15931.0,15945.900390625,261292.0,15945.900390625
2021-12-23,16219.5498046875,16026.5,16100.0,16169.900390625,181118.0,16169.900390625
2021-12-24,16250.0,15800.0,16250.0,15920.5498046875,208736.0,15920.5498046875
2021-12-27,16139.9501953125,15561.0498046875,15610.349609375,16013.099609375,235114.0,16013.099609375
2021-12-28,16249.0,16021.650390625,16172.349609375,16100.849609375,145722.0,16100.849609375
2021-12-29,16330.0,15966.0,16100.2998046875,16249.0498046875,172428.0,16249.0498046875
2021-12-30,16281.7998046875,15974.5,16200.0,16167.5498046875,283146.0,16167.5498046875
2021-12-31,16500.0,16170.0,16197.5498046875,16406.19921875,230086.0,16406.19921875
2022-01-03,17040.0,16406.5,16406.5,16981.30078125,271061.0,16981.30078125
2022-01-04,17190.0,16852.099609375,17099.0,17135.44921875,230043.0,17135.44921875
2022-01-05,18050.0,17100.0,17100.0,17988.400390625,608210.0,17988.400390625
2022-01-06,18080.0,17701.0,17701.0,17986.5,351136.0,17986.5
2022-01-07,18142.94921875,17580.0,18075.0,17756.900390625,322914.0,17756.900390625
2022-01-10,18000.0,17730.650390625,17800.0,17798.80078125,169797.0,17798.80078125
2022-01-11,17935.05078125,17621.099609375,17700.0,17799.5,164818.0,17799.5
2022-01-12,18190.0,17750.0,17900.0,17935.30078125,223394.0,17935.30078125
2022-01-13,18274.900390625,17900.0,17997.69921875,18225.0,248013.0,18225.0
2022-01-14,18333.44921875,18000.0,18044.0,18209.69921875,155328.0,18209.69921875
2022-01-17,18435.0,18221.0,18290.0,18370.599609375,135273.0,18370.599609375
2022-01-18,18558.75,18100.05078125,18376.849609375,18153.55078125,205667.0,18153.55078125
2022-01-19,18621.0,17875.349609375,18240.0,18077.30078125,348174.0,18077.30078125
2022-01-20,18262.0,17080.0,18075.0,17258.94921875,544473.0,17258.94921875
2022-01-21,17095.0,16220.0,17000.0,16335.2001953125,558291.0,16335.2001953125
2022-01-24,16433.94921875,15444.0,16388.5,15707.150390625,473643.0,15707.150390625
2022-01-25,15682.4501953125,15250.2998046875,15550.5,15528.9501953125,409064.0,15528.9501953125
2022-01-27,15570.400390625,15012.0,15386.0,15359.849609375,349727.0,15359.849609375
2022-01-28,15787.650390625,15150.0,15601.0,15198.75,350931.0,15198.75
2022-01-31,15741.0,15329.7001953125,15590.0,15689.5498046875,312992.0,15689.5498046875
2022-02-01,16014.9501953125,15500.0,15828.9501953125,15903.849609375,357187.0,15903.849609375
2022-02-02,16750.0,15925.0,16030.099609375,16706.0,525745.0,16706.0
2022-02-03,16717.0,16263.7001953125,16706.0,16348.099609375,289137.0,16348.099609375
2022-02-04,16469.349609375,16145.0,16348.0,16205.75,294505.0,16205.75
2022-02-07,16364.0498046875,15650.0,16160.0,15711.349609375,356664.0,15711.349609375
2022-02-08,16119.7998046875,15720.0,15810.0,15989.150390625,410373.0,15989.150390625
2022-02-09,16414.900390625,16120.0,16180.0,16257.7998046875,251023.0,16257.7998046875
2022-02-10,16550.0,16033.0,16344.900390625,16393.599609375,299770.0,16393.599609375
2022-02-11,16200.0,15910.0,16000.0,16113.099609375,244696.0,16113.099609375
2022-02-14,15887.9501953125,15451.0,15805.0,15674.150390625,296115.0,15674.150390625
2022-02-15,16427.5,15649.0,15890.0,16375.25,359213.0,16375.25
2022-02-16,16589.900390625,16190.099609375,16428.0,16272.4501953125,273874.0,16272.4501953125
2022-02-17,16418.30078125,16081.0,16366.0,16181.2001953125,214433.0,16181.2001953125
2022-02-18,16289.0,16025.849609375,16061.0,16096.5498046875,174327.0,16096.5498046875
